Using device: mps
Using device: mps

=== Training SAC on HalfCheetah-v5 (seed=0) ===
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 79: Reward = 401.63
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 80: Reward = 392.91
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 81: Reward = 489.26
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 82: Reward = 451.51
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 83: Reward = 371.79
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 84: Reward = 408.19
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 85: Reward = 374.36
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 86: Reward = 466.02
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 87: Reward = 443.97
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 88: Reward = 471.64
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 89: Reward = 453.34
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 90: Reward = 481.38
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 91: Reward = 533.62
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 92: Reward = 544.12
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 93: Reward = 544.82
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 94: Reward = 477.42
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 95: Reward = 523.94
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 96: Reward = 475.12
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 97: Reward = 499.11
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 98: Reward = 459.71
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 99: Reward = 562.28
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 100: Reward = 535.26
Evaluation reward (episode 100): 860.27
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 101: Reward = 486.96
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 102: Reward = 498.73
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 103: Reward = 566.96
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 104: Reward = 528.80
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 105: Reward = 554.48
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 106: Reward = 603.37
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 107: Reward = 608.24
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 108: Reward = 611.36
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 109: Reward = 584.15
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 110: Reward = 598.45
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 111: Reward = 603.65
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 112: Reward = 631.61
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 113: Reward = 570.33
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 114: Reward = 614.03
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 115: Reward = 609.85
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 116: Reward = 595.39
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 117: Reward = 585.15
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 118: Reward = 600.13
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 119: Reward = 557.80
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 120: Reward = 579.51
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 121: Reward = 604.05
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 122: Reward = 640.11
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 123: Reward = 642.32
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 124: Reward = 568.31
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 125: Reward = 666.49
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 126: Reward = 660.26
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 127: Reward = 631.44
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 128: Reward = 639.95
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 129: Reward = 727.55
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 130: Reward = 731.09
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 131: Reward = 605.14
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 132: Reward = 611.46
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 133: Reward = 661.52
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 134: Reward = 724.06
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 135: Reward = 738.70
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 136: Reward = 697.78
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 137: Reward = 737.71
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 138: Reward = 744.44
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 139: Reward = 747.74
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 140: Reward = 767.58
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 141: Reward = 792.85
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 142: Reward = 740.54
